city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bogucice,50.2668,19.0397,Poland,PL,Śląskie,,16538,16538
Milanówek,52.1167,20.6500,Poland,PL,Mazowieckie,,16490,16490
Braniewo,54.3833,19.8333,Poland,PL,Warmińsko-Mazurskie,minor,16480,16480
Rawa Mazowiecka,51.7658,20.2533,Poland,PL,Łódzkie,minor,16429,16429
Radzionków Nowy,50.3833,18.8833,Poland,PL,Śląskie,,16253,16253
Osowa,54.4272,18.4708,Poland,PL,Pomorskie,,15843,15843
Rypin,53.0667,19.4500,Poland,PL,Kujawsko-Pomorskie,minor,15832,15832
Lidzbark Warmiński,54.1167,20.5833,Poland,PL,Warmińsko-Mazurskie,minor,14878,14878
Złotoryja,51.1333,15.9167,Poland,PL,Dolnośląskie,minor,14656,14656
Ustka,54.5833,16.8500,Poland,PL,Pomorskie,,14321,14321
Biały Kamień,50.7814,16.2539,Poland,PL,Dolnośląskie,,14278,14278
Chełmża,53.1847,18.6042,Poland,PL,Kujawsko-Pomorskie,,14045,14045
Lipno,52.8500,19.1667,Poland,PL,Kujawsko-Pomorskie,minor,13752,13752
Łęczyca,52.0500,19.2000,Poland,PL,Łódzkie,minor,13587,13587
Zawodzie,50.2585,19.0449,Poland,PL,Śląskie,,13406,13406
Słupca,52.3000,17.8667,Poland,PL,Wielkopolskie,minor,13353,13353
Człuchów,53.6500,17.3667,Poland,PL,Pomorskie,minor,13343,13343
Wąbrzeźno,53.2833,18.9500,Poland,PL,Kujawsko-Pomorskie,minor,13317,13317
Sidlice,54.3471,18.6171,Poland,PL,Pomorskie,,12842,12842
Chojnów,51.2667,15.9333,Poland,PL,Dolnośląskie,,12769,12769
Chropaczów,50.3131,18.9150,Poland,PL,Śląskie,,12589,12589
Koszutka,50.2711,19.0211,Poland,PL,Śląskie,,12431,12431
Golub-Dobrzyń,53.1000,19.0500,Poland,PL,Kujawsko-Pomorskie,minor,11722,11722
Aleksandrów Kujawski,52.8767,18.6936,Poland,PL,Kujawsko-Pomorskie,minor,11719,11719
Puck,54.7000,18.4000,Poland,PL,Pomorskie,minor,10868,10868
Suchanino,54.3667,18.6500,Poland,PL,Pomorskie,,10392,10392
Czarnków,52.9000,16.5667,Poland,PL,Wielkopolskie,minor,10370,10370
Załęże,50.2672,18.9892,Poland,PL,Śląskie,,10185,10185
Dąb,50.2739,18.9992,Poland,PL,Śląskie,,7694,7694
Chruszczów,50.3333,18.8833,Poland,PL,Śląskie,,7464,7464
Ksawerów,51.6822,19.4028,Poland,PL,Łódzkie,,6897,6897
Wola Rzędzińska,50.0500,21.0833,Poland,PL,Małopolskie,,5869,5869
Dąbrówka Mała,50.2769,19.0808,Poland,PL,Śląskie,,5411,5411
Sejny,54.1167,23.3667,Poland,PL,Podlaskie,minor,5075,5075
Raciąż,52.7794,20.1153,Poland,PL,Mazowieckie,,4146,4146
Górowo Iławeckie,54.2861,20.4917,Poland,PL,Warmińsko-Mazurskie,,3797,3797
Zgłobice,49.9833,20.9167,Poland,PL,Małopolskie,,3030,3030
Libertów,49.9667,19.8833,Poland,PL,Małopolskie,,3029,3029
Zbylitowska Góra,49.9833,20.9167,Poland,PL,Małopolskie,,2695,2695
Wiśniowa Góra,51.7167,19.6333,Poland,PL,Łódzkie,,2569,2569
Koszyce,49.9689,20.9475,Poland,PL,Małopolskie,,2207,2207
Aleksandrowice,49.8144,19.2333,Poland,PL,Śląskie,,1821,1821
Latoszyn,50.0333,21.3667,Poland,PL,Podkarpackie,,1560,1560
Jodłówka,50.0628,21.1122,Poland,PL,Małopolskie,,1282,1282
Długa Szlachecka,52.2500,21.3167,Poland,PL,Mazowieckie,,1060,1060
Kajkowo,53.6667,19.9667,Poland,PL,Warmińsko-Mazurskie,,1017,1017
